2G,1654,OVB,4078,BTK,2936,0,A81,55.01259995,82.65070343,56.37060165,101.697998
2G,1654,OVB,4078,CEK,2968,0,A81,55.01259995,82.65070343,55.305801,61.5033
2G,1654,OVB,4078,IKT,2937,0,A81,55.01259995,82.65070343,52.26800156,104.3889999
2G,1654,UKX,6924,IKT,2937,0,AN4,56.8567009,105.7300034,52.26800156,104.3889999
2G,1654,ULK,9026,IKT,2937,0,AN4,60.72060013,114.8259964,52.26800156,104.3889999
2G,1654,YKS,2923,IKT,2937,0,A81,62.09329987,129.7709961,52.26800156,104.3889999
2I,8359,AYP,2786,LIM,2789,0,142,-13.15480042,-74.20439911,-12.0219,-77.114305
2I,8359,CUZ,2812,LIM,2789,0,142 141,-13.53569984,-71.938797,-12.0219,-77.114305
2I,8359,CUZ,2812,PEM,2808,0,142,-13.53569984,-71.938797,-12.61359978,-69.22859955
2I,8359,HUU,6067,LIM,2789,0,141,-9.878809929,-76.20480347,-12.0219,-77.114305
2I,8359,IQT,2801,PCL,2781,0,143,-3.784739971,-73.30879974,-8.377940178,-74.57430267
2I,8359,IQT,2801,TPP,2806,0,142,-3.784739971,-73.30879974,-6.508739948,-76.37319946
2I,8359,LIM,2789,AYP,2786,0,142,-12.0219,-77.114305,-13.15480042,-74.20439911
2I,8359,LIM,2789,CUZ,2812,0,142 141,-12.0219,-77.114305,-13.53569984,-71.938797
2I,8359,LIM,2789,HUU,6067,0,141,-12.0219,-77.114305,-9.878809929,-76.20480347
2I,8359,LIM,2789,PCL,2781,0,143 146,-12.0219,-77.114305,-8.377940178,-74.57430267
2I,8359,LIM,2789,TPP,2806,0,142 146,-12.0219,-77.114305,-6.508739948,-76.37319946
2I,8359,PCL,2781,IQT,2801,0,143,-8.377940178,-74.57430267,-3.784739971,-73.30879974
2I,8359,PCL,2781,LIM,2789,0,143 146,-8.377940178,-74.57430267,-12.0219,-77.114305
2I,8359,PCL,2781,TPP,2806,0,146,-8.377940178,-74.57430267,-6.508739948,-76.37319946
2I,8359,PEM,2808,CUZ,2812,0,142,-12.61359978,-69.22859955,-13.53569984,-71.938797
2I,8359,TPP,2806,IQT,2801,0,142,-6.508739948,-76.37319946,-3.784739971,-73.30879974
2I,8359,TPP,2806,LIM,2789,0,142 146,-6.508739948,-76.37319946,-12.0219,-77.114305
2I,8359,TPP,2806,PCL,2781,0,146,-6.508739948,-76.37319946,-8.377940178,-74.57430267
2J,470,ABJ,253,BOY,247,0,CRJ,5.261390209,-3.926290035,11.16009998,-4.33096981
2J,470,ABJ,253,OUA,246,0,E70 CRJ M87,5.261390209,-3.926290035,12.3532,-1.51242
2J,470,ACC,248,OUA,246,0,CRJ,5.6051898,-0.1667860001,12.3532,-1.51242
2J,470,BKO,1044,ABJ,253,0,M87,12.5335,-7.94994,5.261390209,-3.926290035
